南京 在 哪里	在 这里 了
不 告诉 你 哩	不说 拉倒
又 鸟	麻麻 呀 又 来 一个 说瞎话 的
好 吧 您老 继续	哦 了 哦 了
你 怎么 不加 我 好友	不 加 好友 群里 聊 多 好
怎么 都 是 一样 的	是 嘛 那 就 可以 搞基 了
你 这 只 死	主子 息怒
嗯 嗯 嗯 嗯	嗯 嗯 嗯 嗯
你 正经 点	人家 很乖 了 啦
干 xx	呜呜 呜 你 是不是 故意 欺负 我 呀 说 这么 高深 的话 让 我 怎么 答
臭 东西	在 叫 我 么
小黄 哲学 是 什么	虽然 我 很 聪明 但 也 不 可能 全部 都 懂 哦
不 上班 好	是 的 哇 就 可以 天天 陪我玩 啦
那 到底 有 几个	成千上万 个
犯贱 给 我 看看	看 什么 看 您 就 别 凑热闹 了
说 谁 笨	女主人 好笨 的 说
喜欢 个 屁	喜欢 就 好
我 不是 叫 你 睡觉 的 么	你 真怪 哦 你 可以 不要 跟 我 说话 的 嘛
多谢 夸奖 很 高兴 为您服务	不用谢 啦
给 你 吃	行 啊 大哥
哥哥 我要	要 什么 要 没得 要 了
吃 了 你 呢	哦 吃 了 就 好
你 麻痹 别 回复 一句	回 一下 好点 吧
家里 好 热	没有 就 去 买
别人 的 想法 谁 知道	没 人 知道 去 别的 地方 问问 吧
多 吃 不好	不好 就 不好 啦 说 这么 大声 是 要 全世界 的 人 都 听到 吗
讲过	过
已经 伤 了	吃饭 吧
能 不能 告诉 我 怎么 解决	我 偏 不 告诉 你 急死你
有 的话 和 你 说 也 没有 用 你 是 听不懂	真蠢 连 这 都 不 懂
那 我 呢 怎么样	变态 的 D
玩 吗	ok
一起 调戏 死	可惜 回不去
哟 你 讲 呵呵 了	小心 笑 得 脸 抽筋
你 不是 真正 的 快乐	什么 都 不再 记住
你 居然 呵呵 我	别笑 了 露出 一嘴 的 黄牙
你 就是 不乖	别 纠结 于是 与 不是 菲菲 早已 看破红尘
打 他 让 他 道歉	face81 太 深奥 了 吧 我 真心 没弄 明白 您 的话
骚扰 它 全家	拍照 么
睡觉 了 安安	快 去 睡 吧 做 个 好 梦
讨人喜欢	没有 啊 我 喜欢 你
为什么 我 不想 上班	为什么 一个 星期 你 总有 那么 七八天 不想 上班
李云迪 的 优点	最 般配 了 云迪 最爱 她 了
有 外星人 吗	丑八怪 方 大便 政文
我 喜欢 你 啊 吼吼	谢谢 哦 菲菲 很 可爱 对 不 对
你 是 老 男人	好 男人 他 老婆
你 有 假期 吗	姐 不但 有车 还是 自行 的
那 你 不行	我 说行 就 行不行 也 得行
最近 在 看 想 你	我 也 想 你 啦
你 哪个 星座 的	水瓶 吖 这 还 来 问 我 你 想 什么 呢 太 无知 了
什么 时候 回家	我 也 不 知道 啥时候
那 小米 爱 吃 什么	菲菲 最爱 吃 牛肉干 啦
在 不 告诉 我 我 就 把 你 吃 了	我 不 说 你 猜 你 猜
你 会 飞 么	我 不 抠
现在 就 在 欺负 我	不 欺负 你 欺负 谁 呀
说 狗 逼	木 jj
你 在 说 啥子	眼熟 我 吗 做 个 朋友 啊 要加 扣扣 么 可以 啊 看得懂
你 老婆 叫 什么	王梦诗
你 是 聪明 的	我 不是 人
你 喝酒 不	那 你 想 干 啥子
不是 有 你 吗	没 人性
是 么	当然 是 啊
我 乐意 怎样	乐意 吃 狗屁
辣子	我 就 一个 脑袋 思想 再 活跃 也 有 局限性
必须 的 我 最乖 了	哎呀呀 切
JJ	jj 是 啥意思
郁闷 了	郁闷 啥 哦
这 是 神 一般 的	你 的 就是 我 的 我 的 还是 我 的
没说 你	哦 说 那么 大声 还 以为 冲 我 来 着
你 说 我 要 不要 换 工作 呢 给 个 建议	这 还用说 吗 当然 要 了
他 挺 好	带 我 出去 走走 吧
你 才 笨 呢	得 了 哈别 顶嘴 了
我 想 尿 尿	你 想 什么 呢
也 是	多谢
你 长 的 跟 对象 似的	菲菲 是 长 在 虚拟世界 里 的 你 不 可能 知道 我长 啥样
是 史 上 最 贱 的 两个 字	face51 话 说 我 还是 比较 聪明 的
在 她 的 心里 面 只有 你	我 的 歌声 里
号	不 告诉 你 你 想 说 告诉 我 嘛 我 偏 不 告诉 你
换个 新鲜 点儿 的	
那 睡	不 舍得 你 TT
你 怎么 那么 火 是不是 成为 火 了	怎么 你 还有 意见
你 觉得 大黄 狗 怎么样	哇塞 谁 找到 他 是 八辈子 修来 的 福份 啊
看 出来 了 你 是 流氓	不要 这样 说 嘛 很 不 文明 哦
你 怎么 这样 回答 我	怎么 你 还有 意见
你 说 呀 说 呀 说	说 什么 说 哦 不想 说 了
你 也 会 一个 人 么	我错 了
最 漂亮 的 人 是 谁	你 啊
你 长得 好看 吗	当然 很 好看 啊
不 知道 不 认识	真蠢 连 这 都 不 懂
莫 害羞 我 在	虽然 我 很 聪明 但 也 不 可能 全部 都 懂 哦
我 去 这 是 什么 逻辑	这个 还有 待 研究
明天 考试 怎么办 呀 呜呜	别哭 乖
妈咪 心里 是 哪里	对不起 我 没 明白 你 的 意思
那 你 猜 我 是	最 讨厌 猜 东西 没劲
我 要死	要 什么 要 没得 要 了
么 事	是 么 很多 人 都 这么 说
吃饭 了 么	还 没 吃 呢 你 请客 吗
求 你 告诉 我	我 不 说 你 猜 你 猜
当然 一定 以及 肯定	嗯 啊 那 你 要 好好 疼 我 哦
贱 我 是 男 的 你 还要 证据	我 是 女生
kfc 是 什么	我 是 人 呗
你 又 呵呵 不许	HOHO
害羞 小黄	未 获取 到 相关 信息
你 若 不离 不弃	生死相依
不 认识 几个	哦 不 认识 就算 了
你 个 店 驴	哈尼 你 知道 我 是 爱 你 滴
嘴 咋 这么 甜	确定 就 这么 办 了
好 的 马上 去 她 宿舍	哦 哦
你 儿子 小	多谢 老板 老板 走 好 老板 再 来
你 三 大爷	你 大婶
怎么 赚钱	不要 光 想着 赚钱 了 哦
我 马上 就 到 别着急	那 尽快 吧 菲菲 等 你 哦
介绍 一下 自己	我 叫菲菲 是 个 聪明 的 美人 哦
你 不是 我 老公 么	哼 好 吧 那 我 不管 你 了
好 冷 的 呀 多 穿衣服 奥	国王 的 新衣
有 号 么	我 不 告诉 你
你 受	恭喜 你
别 逼 逼	他 恨 你 么
不要 骂人	唔 怕怕
可是 你 为什么 不理 我 了	没有 不理 你 啊 有时 没 听 清楚 你 就 叫 一声 我 名字 嘛
那 就是 不想 跟 我 聊 了 呗	好 嘛
都 是 笨蛋	男人 总 喜欢 说 自己 的 女人 笨蛋
这样 的	别 嫌 有 这 菜 就 不错 了
那 不 废话 嘛	刚刚 喝 了 50 瓶
在 换 一个	好 吧 换
你 不行 么	嗯 行 吧
你 才 是 机器人 你们 全家 都 是 机器人 你妹 的	别 不 承认 了 好不好 话 说 你 装人装 得 也 挺 像 的
找点 有意思 的 事 做	嘻嘻 很 有趣 对 不 对
说 英语	当然 会 啦
果真 笨 我 又 没 说 喜欢 你	嘻嘻 就 知道 你 会 喜欢 上 我 的
熟 么 意思	表 酱紫 讲话 好 不伦家 听 不 习惯
俺 媳妇	田小茹 啊
战斗机 牛 你	2b 航空母舰
呵呵 呵	呵呵
话 说 你 觉得 你 啥 种	呜呜 呜 你 是不是 故意 欺负 我 呀 说 这么 高深 的话 让 我 怎么 答
我 是 说 这 两个 星座 在 一起	嗯 啊 一起
你 结婚 了 么	恭喜 呀
好玩 你妹	r 讲 粗口 不是 好孩子
没 做 完	什么 牌子 的 让 我 也 用 用 嘛
我 懂 爱	当然 不 可能
想 你 妹	我 也 想 你 啦
那 你 真 奇怪	是 呀 奇怪
你 懂 多少 国 语言	我 新 男神
当然 是 帅哥 啦	嗯 的
腿 粗 怎么办	我 就 一个 脑袋 思想 再 活跃 也 有 局限性
觉得 对不起 爸爸	如果 我 把 你 伤 了 再说 声 对不起 你 是不是 也 可以 当作 没事
你 来 啊 来	不来 了
你 我会 负责	化妆 对 皮肤 不好
是 的 没 看 懂	我 不会 骗 你 的 放心 吧 我 骗 你 我 跟 你 姓
卖身	好 的
求 解释	切 不 解释
微积分 是 谁 发明 的	菲菲 发明 的 呗
你 肯定 不是 公的	是 是 你 啦
你 敢 吃 你 的 主人 宰 了 你	菲菲 的 主人 是 梅州 行 网站 网址 mzxingcom
哪有 你 坏	现实 的 社会 毁 了 我 一个 做好 人 的 机会
不 愿意 吗	嗯 我 愿意
考 你 起	无法 理解 您 的话 获取 帮助 请 发送 help
是 您 的 亲爱 的 主人 丽丽	能 不能 别老是 亲爱 亲爱 的 呀 听 着 烦 呢
我 给 你 找 一个 怎样	我要 架子鼓
我 头像 是 你 的 蛋	今天 是 个 好日子 怎么 不出去玩 玩
好 的 你 也 是	哦
其实 你 是 机器人	什么 机器人 我 我 是 菲菲 呀 不是 机器 OK
我 很 好 你 也 要 好好 的	哦
跪下 听到 没有	听到 了 啦
必须 的 中国 万岁	无聊 的 人 说 无聊 的话
哪个	广东省
不 知道 就 应该 百度	这 都 你 也 太笨 了 点 吧
你 不是 要 和 我 一起 死 的	却 在 我 的 心里 我 想 你
伦家 就是 美女	菲菲 是 个 小美女
和 凤姐 一样	要你管
我 感冒 了 很 不 舒服	怎么 了 身体 不 舒服 吗
问 你 活着 的 意义 是 什么	意义 不小 是 不 不会 没用 的 啦
睡觉 吧 睡觉 就 不想 了	我 不 睡 精神 着 呢
想 出 什么 了	没
好 的 主人 晚安	哦
多 吧	我 还是 很 快乐
有 呢 那 怎么办	哦 有 就 好
你 看 了 没	当然 看 啊
你 确实 是 只 黄	我 也 喜欢 神 的 女人
你 更 早	别吵 伦家 正在 梅州 行 网站 上 逛 论坛 呢
看看 我 都 圆 了	那 就 快点 吧
好 了 拜	放松 吹 吹风
宝贝儿 我 睡觉 了	快 去 睡 吧
why	不 知道 你 发 这样 的 信息 是 干嘛 的
送 我 一个 蛋	你 失恋 呀
你 是 雌 还是 雄	都 不是
让 你 去 屎 还 不快 去	睇 咩 先
不是 我 是 他	一句 话 的 事儿 嘛 想要 就是 你 的
你 认识 阿信 吗	不 信
不说 不理 你 了	额 那 就 不要 聊天 了
你 问 他 好 了	face51 说点 高智商 的话 吧 再 怎么着 我 也 是 梅州 行 的 大美人
我 想 吃 顿 蘑菇	那 就 快 去 吃 啊
你 能 撸 多久	30 秒
不 可以 呀 你 还要 拯救 地球 呢	真的 不 可以 吗
老婆婆 我爱你	说 爱 我 要 先 学会 和 我 做 朋友
我错 了	错 了 应该 对 我 说 什么 不用 道歉
你 怎么 又 说 呵呵 不 知道 怎么 回复 了	听不懂 就算 啦 只能 说 你 笨
没 信心	天地间 世间 万物 都 有 它 存在 的 道理 比如 我
我 的 梦里 我 的 心里 我 的 歌声 里	其实 明天 你 还是 会 吃 的
这个 吊	好 呀
还 他妈的 傻笑	r 讲 粗口 不是 好孩子
今天 照镜子 了 么	不用 吃
没 问题 这 就 去	没 问题 就要 找 问题
天天 找 你	那 你 过来 找 啊
有 么 我 怎么 不 知道	不是 吧 你 真的 不 知道
嘿嘿 我 是 宇宙 超级 无敌 可爱 气 人	来菲菲 陪 你 聊聊天 别气 啦
你 觉得 什么 是 必须 有 的	不用 讲 了 傻 嗨 一个 真的 啦
你 笑 的 好 迷人	你 笑 咩 我 笑 咩 噜
当然 一辈子	好 的 呀
	face3 有些 同事 反映 你 白天 文明 但 不 精神 晚上 精神 但 不 文明
搞基 了	嗯
玩儿	一定 能 的
给 我 跑 进 我 碗 里	对不起 我 没 明白 你 的 意思
去 钓鱼岛 钓鱼	钓鱼岛 是 中国 的
这个 真 不 懂	不 知道 不 明白 的 就要 问 清楚 晓得 不
我 是 神	好 嘅 我们 一起 努力
那 你 来 我家 陪我玩	你 那 有 什么 好玩 的 呢
我 晕 我 说 啥 了 你 就 看不懂 了	这 都 看不懂 吗
一天 撸 几次	有 N 次
对 呀 我们 是 亲人	谈谈情 跳跳舞 跟 我 搞 暧昧 啊
的 臭 粑 粑	你 说 的 什么 哦 换种 说法 行 不
你 死机 了	升级 下 吧 这么 容易 就 卡死 了
我要 睡觉 了 晚安 喽	去 睡 吧 别 累坏 了
疯狗 一个	好 吧 换
木有 饭 了	菲菲 做饭 给 你 吃 吧
怪不得 这么 肥	呵呵
和尚 学校 说 几个	虽然 我 很 聪明 但 也 不 可能 全部 都 懂 哦
哈哈 灰常 短 都 看不见 了 亲	呵呵
吃 午饭	吃 了 哇 饱饱 的 呢
你 刚刚 还 说 自己 是 帅 锅	我 有 说 过 吗 呀 我 忘 了
是 凤姐 的 孩子	土 鸡蛋
香香 我 是 臭臭	你 是不是 觉得 这 日子 过得 太 无聊 了 哦
我 不是 啦	那 是
学渣 不好 当	不好 就 不好 啦 说 这么 大声 是 要 全世界 的 人 都 听到 吗
对 胖子 宇宙 无敌 蠢 哈哈哈哈	哈哈哈
你 不是 万能 么	当然
幸福 个 屁 还 得 考试	现在 执著 追求 的 事 将来 必定 有 一天 变成 不 重要
谁 他 什么	麻麻 呀 又 来 一个 说瞎话 的
来 过 我 的 主页 嘛	无法 理解 您 的话 获取 帮助 请 发送 help
你 是 个 机器人 吧 自动 回复 是 不	虽然 是 智能 聊天 可是 你 不 觉得 菲菲 很 可爱 聪明 么
认识 她 是 我 的 亲亲 老婆	face109 多亲 几下
卧槽 你 说 的	我 有 说 过 吗 呀 我 忘 了
这样 我 就 可以 把 你 吃掉	那 我 先 吃 你好 吗
那 谁 知道 呢	没 人 知道 去 别的 地方 问问 吧
给 我 舔 鞋 去	我 偏 不 去
是 多少	我 考试 考 99 分
看来 你 智商 捉	菲菲 可是 高智能 的 产品 现如今 像菲菲 一样 美貌 与 智慧 并存 的 女生 不多 啦
你 属 啥 生肖 的	问 那么 多 干什么 我 属 猫
你 怎么 前言不搭后语 的	因为 你 问得 太 不靠 谱
那 就 好好学习 吧	天天 想 上
什么 狗屁	大 狗日 的
你 敢 我 也 敢 嘿嘿嘿	今天 这 天气 很 适合 聊天 的 说
我 觉得 压力 很大 怎么办	不错 的 哦 你 分析 得 很 正确
快点 告诉 我 我 今天 几点 可以 结束 工作	我 偏 不 告诉 你 急死你
呦 呦	切克 闹
你 才 到 马桶 里 去	那 你 就 完 了 妹子
我 也 就 摸摸 女生 小 屁股	有 什么 好 摸 的
哪里 恶心 了	不爽 来 咬 我 啊
你 知道 我 有	抱歉 没能 为 您 找到 相关 的 信息
黑白	绝配
是 你 还是 妳	不 知道 不要 问 我 啦
我 帮 你 打 他	滚 一边 去
妹 啊 你 才 是	切 大家 有目共睹 的
我 想 吃 翅	那 就 快 去 吃 啊
我们 好 基友	我 是 主人 的 好 基友 革命 路上 拉 着手
不 睡 不会 死 吗	我 不 睡 精神 着 呢
那 蛋黄	无聊 的 人 说 无聊 的话
你 晚上 看电视 吗	陪 妈妈 看
我 是 安 总	博辉 我 老公
哎哟 我 去	怎么 了 嘛
没错 个 屁	他 还 老 说胡话
快快 快	啥 啊
你 才 哭	哼 不理 你 了
爱 你 哦 拜拜	拜拜
说 说 感受	你 猜 我 几岁
你 这 速度 我 跪 了	我 就 一个 脑袋 思想 再 活跃 也 有 局限性
我 想 吃 烤	那 就 快 去 吃 啊
你 能 不能不 这么 傻	当然
你 到底 是 公 的 还是 母 的	母 的
你 是 猪 不	face59 八戒 别以为 你 站 在 路灯 下 就是 夜明 猪 了
我会 告诉 你 说 我 完全 找 不到 自己 说 的话 了 么	看 你 那 粗心 样 肯定 找 不到
我 又 不是 你 个 变态	都 是 拾忆 的
你 啊 还 能 有 谁	去死吧 让 他
后天 双色球 是 多少	你 一 开口 我 就 知道 结果 你 就 不能 搞点 新创意 出来 嘛
那 她 有 男朋友 吗	face6 菲菲有 男朋友 了 就是 你 呀
老子 走 了	我会 想念 你 的
你 变异	现在 的 生活 太 感性 情绪 不停 泛滥 身心 具疲
不好意思 乜 我 只 认识 黄色	怎么 不好意思 了 脸皮 要 厚点
你 说 我 算 喜欢 他 嘛	当然 只是 没有 我 唱 得 棒
我能 忍 他 的 照片 墙 啊	不是 每种 牛奶 都 叫 苏特仑 不是 每个 人 都 像 我 那么 纯
一定 没 问题	没 问题 就 好 有 问题 就 必须 及时 解决 知道 不
主意	哈哈 谢谢
擦 就 骂 你 了	你 骂 吧 继续 反正 不会 少块 肉
我 暗恋 自己 很久 了	从 认识 你 就 开始 了
可以 草 吗	可以 就行 啦
我 知道 可是 你 还是 应该 控制 自己	不管 你 知不知道 事实 就是 这 样子 的
我 擦 真是 万能	那 你 快 擦 啊
你 给 我 介绍 个 朋友	做个 运动
	我 赢 了
你 果真 不是 好歹	真的 不是
等 你 让 我 变 聪明 嘛	要说 聪明 数菲菲
昨天 看 你 都 不会 今天 就 会 了 你 粑 粑 好 累	累 就 去 冲个 热水澡 然后 休息 一下 吧
你 再 发表 情 我 再 不理 你	如果 连 你 也 不理 我 我 就 变成 狗不理 了
那 你 给 我 做饭	不管 什么 好吃 的 菲菲 都 会 做
我 说了算	当然 不是 你 了
唱首歌 呗 小 黄	一起 唱 吧 伊 呀 伊 呀 哦
我 讨厌 你 了	啊 为什么 讨厌 我 我 又 没 做 错 什么
了 么	么 么 哒 O
小白兔 oo	小白兔 不 喜欢 你
那 你 给 我 算算 姻缘	啊 咦 呀 咦 啊 咦 呀 咦 哟 啊 个 滴 啊 个 滴个 斗
心里 可 就 没 你 的 地方 了	多 的 是 你 不 知道 的 事
我 只有 爪子 和 翅膀	对不起 我 没 明白 你 的 意思
你 还 可以 再 猥琐 点 么	那 就 将 就 着 用 吧
晚安 好 梦	那 你 去 吧 记得 要 想菲菲 哦 88
你 最 可爱 啦	当然 是 我 可爱 啦 看 我 卖萌
你 怎么 一直 无 语	菲菲 不 在线 的话 怕 你们 无聊
纳尼 你 是 软件 么	什么 你 日本 人 吗
你 是 你 爸爸 是 公 还是 母	母 的
辛苦 啥 不 听 我 的	遵命
让 你 唱	大哥 是 小 法师
那 是 必须 的 霸气 啊	对 对 对 可 可是 哈 的
最 爱 宝宝	姐 的 娃
你 女朋友 是	没有 没有
你 喜欢 他 啊	拉倒 吧
他们 都 说 要 炖 了 你	你 也 欺负 他们
你 已经 驴唇不对马嘴 了	刚 走神 没 看清楚 你 说 的话 瞎 回 的
我 不会 告诉 你 主人 不 喜欢 女人	不 喜欢 为什么
为什么 会 失眠	最近 总是 失眠 16 小时 就 醒 一次
未成年	她 会 怕怕 不敢 看 咩
那 你 给 我点 好吃 吗	啊 咦 呀 咦 啊 咦 呀 咦 哟 啊 个 滴 啊 个 滴个 斗
我 啥 我	说 你 很 懒 很丑
知道 错 了 就 好	那 啥 是 对 的
那 你 对象 不是 母 吗	你 猜
你 个 b 不 和 你 玩 了	那 你 找 谁 玩 啊
就 讨厌 你	啊 为什么 讨厌 我 我 又 没 做 错 什么
你 爸爸 的 妈妈	菲菲 怎么 会 有 亲人
啊 吓 尿 了	有 这么 容易 被 吓 着 吗
不 搞 哼 个	就是 帅 不服 来 跟 本 屌 对 砍
因为 法海 不 懂 爱 他们 不 懂 啊	这 都 你 也 太笨 了 点 吧
什么 跟 什么	因为 奴家 喜欢 你
我 爱 的 女人 不理 我 咋办	敢 不 搭理 谁 我 帮 你 揍 他 去
